[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RoutesResolver] ServarrApiController {/app/maintainerr/api/servarr}:
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/servarr/sonarr/:id/diskspace, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/servarr/radarr/:id/diskspace, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RoutesResolver] SeerrApiController {/app/maintainerr/api/seerr}:
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/seerr/movie/:id, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/seerr/show/:id, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/seerr/request/:requestId, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/seerr/media/:mediaId, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/seerr/media/tmdb/:mediaId, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RoutesResolver] SeerrApiController {/app/maintainerr/api/overseerr}:
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/overseerr/movie/:id, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/overseerr/show/:id, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/overseerr/request/:requestId, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/overseerr/media/:mediaId, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/overseerr/media/tmdb/:mediaId, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RoutesResolver] SeerrApiController {/app/maintainerr/api/jellyseerr}:
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/jellyseerr/movie/:id, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/jellyseerr/show/:id, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/jellyseerr/request/:requestId, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/jellyseerr/media/:mediaId, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/jellyseerr/media/tmdb/:mediaId, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RoutesResolver] TautulliApiController {/app/maintainerr/api/tautulli}:
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RoutesResolver] InternalApiController {/app/maintainerr/api/maintainerr}:
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RoutesResolver] TmdbApiController {/app/maintainerr/api/moviedb}:
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/moviedb/person/:personId, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/moviedb/movie/imdb/:id, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/moviedb/backdrop/:type/:tmdbId, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/moviedb/image/:type/:tmdbId, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RoutesResolver] RulesController {/app/maintainerr/api/rules}:
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/constants, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/community, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/community/count, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/community/karma/history, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/exclusion, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/count, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/:id/rules, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/collection/:id, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/:id, GET} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/:id, DELETE} route
[maintainerr]  |  26/04/2026 21:37:19  [INFO] [RouterExplorer] Mapped {/app/maintainerr/api/rules/execute, POST} route
